Nombre de la Empresa,Nombre del puesto,Localizacion,Tipo de jornada,Disponibilidad,Requisitos,Justificacion del encaje
EduTech World,Frontend Developer,Remoto (España),Jornada Completa,Flexible,Nivel de inglés B2/C1 y capacidad analítica.,Se valora la experiencia previa en proyectos similares del sector.
AutoDrive AI,Backend Developer,"Palma, España",Flexible,Inmediata,Sólidos conocimientos en algoritmos y estructuras de datos.,Perfil orientado a resultados con foco en la calidad del código.
FinTech Giants,Junior Software Engineer,"Málaga, España",Jornada Completa,Inmediata,Conocimientos avanzados en C++ y sistemas embebidos.,El candidato debe demostrar liderazgo y capacidad de mentoría.
GameDev Studios,DevOps Engineer,"Madrid, España",Media Jornada,Flexible,Sólidos conocimientos en algoritmos y estructuras de datos.,Se valora la experiencia previa en proyectos similares del sector.
AutoDrive AI,Frontend Developer,Remoto (Europa),Media Jornada,Inmediata,Experiencia en Big Data y herramientas como Spark o Hadoop.,Se valora la experiencia previa en proyectos similares del sector.
TechNova Solutions,Mobile Developer (iOS/Android),"Sevilla, España",Media Jornada,Flexible,Sólidos conocimientos en algoritmos y estructuras de datos.,Buscamos innovación y proactividad para resolver retos complejos.
CyberSec Experts,Lead Software Engineer,Remoto (Europa),Media Jornada,Inmediata,Nivel de inglés B2/C1 y capacidad analítica.,Fuerte base técnica con visión estratégica del producto.
AutoDrive AI,Fullstack Developer,"Sevilla, España",Jornada Completa,Flexible,Nivel de inglés B2/C1 y capacidad analítica.,Buscamos innovación y proactividad para resolver retos complejos.
MobileFirst Corp,Backend Developer,"Bilbao, España",Jornada Completa,1 mes,Dominio de Java y Spring Boot. Experiencia en microservicios.,Interés por las últimas tecnologías y aprendizaje continuo.
CloudLink Partners,Senior Software Engineer,"Zaragoza, España",Media Jornada,Inmediata,"Experiencia en AWS/Azure, Docker y Kubernetes.",Interés por las últimas tecnologías y aprendizaje continuo.
MobileFirst Corp,Software Engineer,"Bilbao, España",Media Jornada,Flexible,Conocimientos avanzados en C++ y sistemas embebidos.,Interés por las últimas tecnologías y aprendizaje continuo.
CloudLink Partners,Security Analyst,"Barcelona, España",Media Jornada,15 días,Experiencia en desarrollo móvil con Flutter o React Native.,El candidato debe demostrar liderazgo y capacidad de mentoría.
LogisticsPlus,Security Analyst,"Barcelona, España",Media Jornada,Flexible,Nivel de inglés B2/C1 y capacidad analítica.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
Future Mobility,Data Engineer,"Valencia, España",Flexible,Flexible,Conocimientos en Python y SQL. Experiencia con frameworks web.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
LogisticsPlus,Senior Software Engineer,"Barcelona, España",Media Jornada,Inmediata,Certificaciones en seguridad informática y experiencia en auditorías.,Fuerte base técnica con visión estratégica del producto.
TechNova Solutions,Lead Software Engineer,Remoto (Europa),Flexible,15 días,Experiencia en Big Data y herramientas como Spark o Hadoop.,Excelentes habilidades de comunicación y resolución de problemas.
EcoSoft Innovators,Frontend Developer,"Málaga, España",Flexible,1 mes,Experiencia en Big Data y herramientas como Spark o Hadoop.,Fuerte base técnica con visión estratégica del producto.
DataStream AI,Data Engineer,Remoto (Europa),Flexible,15 días,Conocimientos en Python y SQL. Experiencia con frameworks web.,Se valora la experiencia previa en proyectos similares del sector.
LogisticsPlus,Junior Software Engineer,Remoto (España),Flexible,1 mes,Conocimientos avanzados en C++ y sistemas embebidos.,El candidato debe demostrar liderazgo y capacidad de mentoría.
EduTech World,Software Engineer,"Palma, España",Flexible,1 mes,"Experiencia en AWS/Azure, Docker y Kubernetes.",Perfil orientado a resultados con foco en la calidad del código.
SmartCity Solutions,Security Analyst,"Palma, España",Media Jornada,1 mes,Experiencia en Big Data y herramientas como Spark o Hadoop.,Perfil orientado a resultados con foco en la calidad del código.
EduTech World,Systems Administrator,"Valencia, España",Jornada Completa,1 mes,Conocimientos en Python y SQL. Experiencia con frameworks web.,Se busca un perfil técnico sólido que pueda aportar desde el primer día.
Global Web Systems,Lead Software Engineer,"Valencia, España",Jornada Completa,Inmediata,Sólidos conocimientos en algoritmos y estructuras de datos.,Se valora la experiencia previa en proyectos similares del sector.
HealthCare Tech,Backend Developer,"Madrid, España",Flexible,15 días,Nivel de inglés B2/C1 y capacidad analítica.,Perfil orientado a resultados con foco en la calidad del código.
EcoSoft Innovators,Senior Software Engineer,"Valencia, España",Media Jornada,Flexible,Certificaciones en seguridad informática y experiencia en auditorías.,Perfil orientado a resultados con foco en la calidad del código.
BioTech Digital,QA Engineer,"Palma, España",Flexible,Flexible,Conocimientos avanzados en C++ y sistemas embebidos.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
HealthCare Tech,Junior Software Engineer,"Palma, España",Jornada Completa,1 mes,"Experiencia en AWS/Azure, Docker y Kubernetes.",El candidato debe demostrar liderazgo y capacidad de mentoría.
Future Mobility,Data Engineer,"Valencia, España",Flexible,Flexible,"Experiencia en AWS/Azure, Docker y Kubernetes.",Ideal para alguien que busque crecimiento en un entorno dinámico.
EduTech World,Software Engineer,"Bilbao, España",Flexible,Flexible,"Experiencia en AWS/Azure, Docker y Kubernetes.",Perfil orientado a resultados con foco en la calidad del código.
EcoSoft Innovators,DevOps Engineer,Remoto (Europa),Jornada Completa,15 días,Experiencia en desarrollo móvil con Flutter o React Native.,El candidato debe demostrar liderazgo y capacidad de mentoría.
GreenEnergy Tech,Machine Learning Engineer,"Valencia, España",Jornada Completa,15 días,Dominio de Java y Spring Boot. Experiencia en microservicios.,Se valora la experiencia previa en proyectos similares del sector.
RetailSmart AI,Machine Learning Engineer,"Madrid, España",Flexible,1 mes,Nivel de inglés B2/C1 y capacidad analítica.,Excelentes habilidades de comunicación y resolución de problemas.
GameDev Studios,Mobile Developer (iOS/Android),"Zaragoza, España",Media Jornada,15 días,"Experiencia en JavaScript, React y Node.js. Trabajo en equipo.",Se busca un perfil técnico sólido que pueda aportar desde el primer día.
MobileFirst Corp,QA Engineer,"Zaragoza, España",Jornada Completa,15 días,Sólidos conocimientos en algoritmos y estructuras de datos.,Excelentes habilidades de comunicación y resolución de problemas.
BioTech Digital,Backend Developer,"Madrid, España",Jornada Completa,Flexible,Certificaciones en seguridad informática y experiencia en auditorías.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
EcoSoft Innovators,QA Engineer,"Palma, España",Jornada Completa,Flexible,"Experiencia en JavaScript, React y Node.js. Trabajo en equipo.",Fuerte base técnica con visión estratégica del producto.
MobileFirst Corp,Mobile Developer (iOS/Android),"Zaragoza, España",Flexible,1 mes,Experiencia en Big Data y herramientas como Spark o Hadoop.,Buscamos innovación y proactividad para resolver retos complejos.
CyberSec Experts,Security Analyst,"Palma, España",Flexible,Flexible,Certificaciones en seguridad informática y experiencia en auditorías.,Se valora la experiencia previa en proyectos similares del sector.
GreenEnergy Tech,QA Engineer,"Zaragoza, España",Jornada Completa,Inmediata,Sólidos conocimientos en algoritmos y estructuras de datos.,El candidato debe demostrar liderazgo y capacidad de mentoría.
Global Web Systems,Lead Software Engineer,"Sevilla, España",Flexible,15 días,"Experiencia en AWS/Azure, Docker y Kubernetes.",Perfil orientado a resultados con foco en la calidad del código.
AutoDrive AI,QA Engineer,"Madrid, España",Jornada Completa,1 mes,Conocimientos avanzados en C++ y sistemas embebidos.,Se valora la experiencia previa en proyectos similares del sector.
CyberSec Experts,Junior Software Engineer,"Bilbao, España",Jornada Completa,Flexible,Sólidos conocimientos en algoritmos y estructuras de datos.,Interés por las últimas tecnologías y aprendizaje continuo.
Future Mobility,Mobile Developer (iOS/Android),"Bilbao, España",Media Jornada,Flexible,"Experiencia en JavaScript, React y Node.js. Trabajo en equipo.",Ideal para alguien que busque crecimiento en un entorno dinámico.
RetailSmart AI,Senior Software Engineer,"Málaga, España",Jornada Completa,Inmediata,Dominio de Java y Spring Boot. Experiencia en microservicios.,El candidato debe demostrar liderazgo y capacidad de mentoría.
CyberSec Experts,Mobile Developer (iOS/Android),Remoto (España),Media Jornada,Inmediata,Conocimientos avanzados en C++ y sistemas embebidos.,Se busca un perfil técnico sólido que pueda aportar desde el primer día.
Future Mobility,Cloud Architect,Remoto (España),Flexible,1 mes,Conocimientos avanzados en C++ y sistemas embebidos.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
FinTech Giants,QA Engineer,"Valencia, España",Media Jornada,Flexible,Conocimientos en Python y SQL. Experiencia con frameworks web.,Buscamos innovación y proactividad para resolver retos complejos.
Future Mobility,Frontend Developer,"Madrid, España",Flexible,1 mes,Sólidos conocimientos en algoritmos y estructuras de datos.,Perfil orientado a resultados con foco en la calidad del código.
CyberSec Experts,Senior Software Engineer,"Málaga, España",Jornada Completa,15 días,Conocimientos avanzados en C++ y sistemas embebidos.,Se valora la experiencia previa en proyectos similares del sector.
FinTech Giants,Fullstack Developer,Remoto (España),Flexible,15 días,Certificaciones en seguridad informática y experiencia en auditorías.,El candidato debe demostrar liderazgo y capacidad de mentoría.
FinTech Giants,Cloud Architect,"Palma, España",Flexible,1 mes,Conocimientos en Python y SQL. Experiencia con frameworks web.,Fuerte base técnica con visión estratégica del producto.
CyberSec Experts,Mobile Developer (iOS/Android),"Málaga, España",Jornada Completa,Inmediata,Conocimientos en Python y SQL. Experiencia con frameworks web.,Buscamos innovación y proactividad para resolver retos complejos.
CloudLink Partners,Cloud Architect,"Palma, España",Jornada Completa,Flexible,Dominio de Java y Spring Boot. Experiencia en microservicios.,Buscamos innovación y proactividad para resolver retos complejos.
FinTech Giants,QA Engineer,"Palma, España",Flexible,15 días,Experiencia en desarrollo móvil con Flutter o React Native.,Se busca un perfil técnico sólido que pueda aportar desde el primer día.
SmartCity Solutions,Security Analyst,Remoto (Europa),Media Jornada,15 días,Experiencia en Big Data y herramientas como Spark o Hadoop.,Se valora la experiencia previa en proyectos similares del sector.
EcoSoft Innovators,Security Analyst,"Valencia, España",Flexible,1 mes,Conocimientos en Python y SQL. Experiencia con frameworks web.,El candidato debe demostrar liderazgo y capacidad de mentoría.
Global Web Systems,Lead Software Engineer,"Madrid, España",Media Jornada,1 mes,Experiencia en Big Data y herramientas como Spark o Hadoop.,Buscamos innovación y proactividad para resolver retos complejos.
CloudLink Partners,Systems Administrator,Remoto (España),Media Jornada,Flexible,Conocimientos avanzados en C++ y sistemas embebidos.,Ideal para alguien que busque crecimiento en un entorno dinámico.
CloudLink Partners,Systems Administrator,"Barcelona, España",Flexible,Inmediata,Nivel de inglés B2/C1 y capacidad analítica.,Ideal para alguien que busque crecimiento en un entorno dinámico.
DataStream AI,Fullstack Developer,Remoto (Europa),Jornada Completa,1 mes,Conocimientos avanzados en C++ y sistemas embebidos.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
GameDev Studios,Cloud Architect,"Sevilla, España",Media Jornada,Inmediata,Experiencia en desarrollo móvil con Flutter o React Native.,Buscamos innovación y proactividad para resolver retos complejos.
CloudLink Partners,Senior Software Engineer,Remoto (España),Media Jornada,15 días,Nivel de inglés B2/C1 y capacidad analítica.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
LogisticsPlus,Systems Administrator,"Málaga, España",Media Jornada,Flexible,Conocimientos en Python y SQL. Experiencia con frameworks web.,Fuerte base técnica con visión estratégica del producto.
MobileFirst Corp,Senior Software Engineer,"Bilbao, España",Media Jornada,15 días,Conocimientos en Python y SQL. Experiencia con frameworks web.,Perfil orientado a resultados con foco en la calidad del código.
FinTech Giants,QA Engineer,"Valencia, España",Flexible,Flexible,Dominio de Java y Spring Boot. Experiencia en microservicios.,Fuerte base técnica con visión estratégica del producto.
AutoDrive AI,Data Engineer,"Bilbao, España",Flexible,Inmediata,"Experiencia en JavaScript, React y Node.js. Trabajo en equipo.",Excelentes habilidades de comunicación y resolución de problemas.
Global Web Systems,Mobile Developer (iOS/Android),Remoto (Europa),Media Jornada,Inmediata,Experiencia en Big Data y herramientas como Spark o Hadoop.,El candidato debe demostrar liderazgo y capacidad de mentoría.
RetailSmart AI,Senior Software Engineer,"Bilbao, España",Flexible,Flexible,Experiencia en Big Data y herramientas como Spark o Hadoop.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
CloudLink Partners,Senior Software Engineer,"Sevilla, España",Jornada Completa,1 mes,Conocimientos avanzados en C++ y sistemas embebidos.,Interés por las últimas tecnologías y aprendizaje continuo.
EcoSoft Innovators,Security Analyst,"Barcelona, España",Media Jornada,Inmediata,Certificaciones en seguridad informática y experiencia en auditorías.,Interés por las últimas tecnologías y aprendizaje continuo.
EcoSoft Innovators,Frontend Developer,Remoto (Europa),Media Jornada,1 mes,"Experiencia en JavaScript, React y Node.js. Trabajo en equipo.",Fuerte base técnica con visión estratégica del producto.
MobileFirst Corp,Data Engineer,"Barcelona, España",Flexible,Inmediata,Conocimientos en Python y SQL. Experiencia con frameworks web.,El candidato debe demostrar liderazgo y capacidad de mentoría.
EduTech World,Data Engineer,"Sevilla, España",Jornada Completa,Flexible,Experiencia en desarrollo móvil con Flutter o React Native.,Se valora la experiencia previa en proyectos similares del sector.
SecureNet Systems,Cloud Architect,Remoto (Europa),Media Jornada,Inmediata,Conocimientos en Python y SQL. Experiencia con frameworks web.,Buscamos innovación y proactividad para resolver retos complejos.
LogisticsPlus,Fullstack Developer,"Zaragoza, España",Jornada Completa,Inmediata,Nivel de inglés B2/C1 y capacidad analítica.,Fuerte base técnica con visión estratégica del producto.
DataStream AI,Backend Developer,"Zaragoza, España",Jornada Completa,1 mes,Certificaciones en seguridad informática y experiencia en auditorías.,Ideal para alguien que busque crecimiento en un entorno dinámico.
GreenEnergy Tech,Machine Learning Engineer,Remoto (España),Media Jornada,Inmediata,"Experiencia en JavaScript, React y Node.js. Trabajo en equipo.",Interés por las últimas tecnologías y aprendizaje continuo.
LogisticsPlus,Systems Administrator,Remoto (Europa),Media Jornada,15 días,Certificaciones en seguridad informática y experiencia en auditorías.,Interés por las últimas tecnologías y aprendizaje continuo.
SmartCity Solutions,Backend Developer,"Málaga, España",Jornada Completa,15 días,Experiencia en Big Data y herramientas como Spark o Hadoop.,Se valora la experiencia previa en proyectos similares del sector.
BioTech Digital,Cloud Architect,"Bilbao, España",Jornada Completa,Flexible,"Experiencia en AWS/Azure, Docker y Kubernetes.",Fuerte base técnica con visión estratégica del producto.
LogisticsPlus,Cloud Architect,Remoto (España),Flexible,15 días,Conocimientos avanzados en C++ y sistemas embebidos.,Ideal para alguien que busque crecimiento en un entorno dinámico.
RetailSmart AI,Senior Software Engineer,"Barcelona, España",Jornada Completa,1 mes,Certificaciones en seguridad informática y experiencia en auditorías.,Se valora la experiencia previa en proyectos similares del sector.
BioTech Digital,Cloud Architect,"Sevilla, España",Jornada Completa,15 días,Sólidos conocimientos en algoritmos y estructuras de datos.,El candidato debe demostrar liderazgo y capacidad de mentoría.
RetailSmart AI,Junior Software Engineer,"Palma, España",Media Jornada,Inmediata,"Experiencia en AWS/Azure, Docker y Kubernetes.",Excelentes habilidades de comunicación y resolución de problemas.
GameDev Studios,Senior Software Engineer,"Madrid, España",Flexible,Inmediata,Dominio de Java y Spring Boot. Experiencia en microservicios.,Perfil orientado a resultados con foco en la calidad del código.
Future Mobility,Frontend Developer,"Málaga, España",Jornada Completa,15 días,Certificaciones en seguridad informática y experiencia en auditorías.,Fuerte base técnica con visión estratégica del producto.
CyberSec Experts,Machine Learning Engineer,"Valencia, España",Media Jornada,1 mes,Experiencia en desarrollo móvil con Flutter o React Native.,Perfil orientado a resultados con foco en la calidad del código.
HealthCare Tech,Senior Software Engineer,"Málaga, España",Jornada Completa,Flexible,Sólidos conocimientos en algoritmos y estructuras de datos.,Excelentes habilidades de comunicación y resolución de problemas.
Global Web Systems,Lead Software Engineer,"Málaga, España",Media Jornada,1 mes,Sólidos conocimientos en algoritmos y estructuras de datos.,Perfil orientado a resultados con foco en la calidad del código.
GameDev Studios,Backend Developer,"Madrid, España",Flexible,15 días,Conocimientos en Python y SQL. Experiencia con frameworks web.,Interés por las últimas tecnologías y aprendizaje continuo.
Future Mobility,DevOps Engineer,"Barcelona, España",Flexible,15 días,Conocimientos en Python y SQL. Experiencia con frameworks web.,El candidato debe demostrar liderazgo y capacidad de mentoría.
GreenEnergy Tech,Mobile Developer (iOS/Android),"Sevilla, España",Jornada Completa,1 mes,Certificaciones en seguridad informática y experiencia en auditorías.,El candidato debe demostrar liderazgo y capacidad de mentoría.
LogicFlow Systems,Frontend Developer,"Madrid, España",Flexible,Inmediata,Dominio de Java y Spring Boot. Experiencia en microservicios.,El candidato debe demostrar liderazgo y capacidad de mentoría.
BioTech Digital,Security Analyst,"Valencia, España",Flexible,1 mes,Nivel de inglés B2/C1 y capacidad analítica.,El candidato debe demostrar liderazgo y capacidad de mentoría.
EduTech World,Fullstack Developer,"Bilbao, España",Media Jornada,15 días,Nivel de inglés B2/C1 y capacidad analítica.,Perfil orientado a resultados con foco en la calidad del código.
GameDev Studios,Machine Learning Engineer,"Zaragoza, España",Flexible,Inmediata,Nivel de inglés B2/C1 y capacidad analítica.,Fuerte base técnica con visión estratégica del producto.
BioTech Digital,Senior Software Engineer,"Zaragoza, España",Flexible,Inmediata,Dominio de Java y Spring Boot. Experiencia en microservicios.,El candidato debe demostrar liderazgo y capacidad de mentoría.
GameDev Studios,Junior Software Engineer,"Valencia, España",Media Jornada,15 días,"Experiencia en AWS/Azure, Docker y Kubernetes.",Interés por las últimas tecnologías y aprendizaje continuo.
DataStream AI,QA Engineer,Remoto (España),Jornada Completa,Inmediata,Conocimientos avanzados en C++ y sistemas embebidos.,Interés por las últimas tecnologías y aprendizaje continuo.
SmartCity Solutions,Fullstack Developer,"Sevilla, España",Flexible,1 mes,Experiencia en desarrollo móvil con Flutter o React Native.,Buscamos innovación y proactividad para resolver retos complejos.
